Method,Domain of Origin,Primary Application Domains
A/B Testing,Agricultural Science,"Web Development, Marketing, Product Development, User Experience"
Randomized Controlled Trials (RCT),Medical Research,"Clinical Medicine, Public Health, Education, Development Economics"
Matched Pairs Design,Statistics,"Medical Research, Psychology, Agricultural Trials, Industrial Experiments"
Factorial Design,Experimental Design,"Manufacturing, Agriculture, Pharmaceutical Development, Quality Control"
Response Surface Methodology,Statistics,"Process Optimization, Industrial Engineering, Chemical Engineering, Agriculture"
Design of Experiments (DOE),Statistics,"Manufacturing, Six Sigma, Product Development, Process Improvement"
Taguchi Methods,Quality Engineering,"Manufacturing, Product Design, Robust Design, Quality Control"
Analysis of Variance (ANOVA),Statistics,"Agriculture, Psychology, Biology, Medicine, Quality Control"
MANOVA (Multivariate ANOVA),Statistics,"Psychology, Biology, Marketing Research, Social Sciences"
ANCOVA (Analysis of Covariance),Statistics,"Psychology, Education, Medical Research, Agricultural Studies"
Linear Mixed Models,Statistics,"Longitudinal Studies, Clinical Trials, Education Research, Ecology"
Generalized Linear Models (GLM),Statistics,"Epidemiology, Insurance, Ecology, Social Sciences"
Generalized Additive Models (GAM),Statistics,"Ecology, Epidemiology, Environmental Science, Spatial Analysis"
Structural Equation Modeling (SEM),Psychology,"Social Sciences, Marketing Research, Education, Management Studies"
Path Analysis,Genetics,"Social Sciences, Epidemiology, Psychology, Ecology"
Confirmatory Factor Analysis,Psychometrics,"Psychology, Marketing Research, Social Sciences, Education"
Canonical Correlation Analysis,Statistics,"Psychology, Marketing, Ecology, Chemometrics"
Correspondence Analysis,Statistics,"Marketing Research, Archaeology, Linguistics, Social Sciences"
Multidimensional Scaling,Psychology,"Marketing Research, Psychometrics, Social Network Analysis, Geography"
Cluster Analysis,Statistics,"Marketing Segmentation, Biology, Medicine, Social Network Analysis"
Time Series Decomposition,Statistics,"Economics, Finance, Demand Forecasting, Climate Science"
ARIMA Models,Time Series Analysis,"Economics, Finance, Forecasting, Climate Science, Sales Prediction"
SARIMA (Seasonal ARIMA),Time Series Analysis,"Demand Forecasting, Tourism, Retail Sales, Energy Consumption"
Exponential Smoothing,Forecasting,"Supply Chain Management, Inventory Control, Sales Forecasting"
Holt-Winters Method,Forecasting,"Seasonal Forecasting, Retail, Energy Demand, Tourism"
State Space Models,Control Theory,"Economics, Finance, Engineering, Signal Processing"
Dynamic Factor Models,Econometrics,"Macroeconomics, Finance, Forecasting, Nowcasting"
Spectral Analysis,Physics,"Signal Processing, Astronomy, Oceanography, Vibration Analysis"
Granger Causality,Econometrics,"Economics, Neuroscience, Climate Science, Finance"
Transfer Function Models,Engineering,"Economics, Environmental Science, Control Systems"
Genetic Algorithms,Evolutionary Biology,"Optimization, Scheduling, Engineering Design, Portfolio Optimization"
Evolutionary Strategies,Evolutionary Biology,"Robotics, Engineering Optimization, Neural Architecture Search"
Differential Evolution,Evolutionary Biology,"Engineering Optimization, Parameter Estimation, Machine Learning"
Particle Swarm Optimization,Social Psychology,"Engineering Design, Neural Network Training, Scheduling Problems"
Ant Colony Optimization,Myrmecology,"Routing Problems, Scheduling, Telecommunications Network Design"
Simulated Annealing,Metallurgy,"Combinatorial Optimization, VLSI Design, Scheduling, Protein Folding"
Tabu Search,Operations Research,"Scheduling, Routing, Telecommunications, Logistics"
Harmony Search,Music Theory,"Engineering Optimization, Water Resources, Structural Design"
Bee Algorithm,Entomology,"Optimization Problems, Manufacturing, Image Processing"
Firefly Algorithm,Biology,"Engineering Optimization, Image Processing, Wireless Networks"
Cuckoo Search,Ornithology,"Engineering Optimization, Data Clustering, Feature Selection"
Bat Algorithm,Bioacoustics,"Engineering Design, Classification, Feature Selection"
Grey Wolf Optimizer,Animal Behavior,"Engineering Problems, Power Systems, Feature Selection"
Whale Optimization Algorithm,Marine Biology,"Engineering Optimization, Feature Selection, Neural Network Training"
Gravitational Search Algorithm,Physics,"Optimization Problems, Power Systems, Data Clustering"
Artificial Bee Colony,Entomology,"Function Optimization, Data Mining, Image Processing"
Linear Programming,Operations Research,"Production Planning, Transportation, Resource Allocation, Finance"
Integer Programming,Operations Research,"Scheduling, Facility Location, Network Design, Project Selection"
Nonlinear Programming,Mathematics,"Engineering Design, Portfolio Optimization, Resource Allocation"
Dynamic Programming,Operations Research,"Economics, Computer Science, Bioinformatics, Robotics"
Stochastic Programming,Operations Research,"Finance, Energy Systems, Supply Chain Management, Portfolio Optimization"
Robust Optimization,Operations Research,"Supply Chain, Finance, Engineering Design, Telecommunications"
Multi-Objective Optimization,Operations Research,"Engineering Design, Portfolio Selection, Project Management"
Convex Optimization,Mathematics,"Machine Learning, Signal Processing, Finance, Control Systems"
Quadratic Programming,Mathematics,"Finance, Machine Learning, Control Systems, Robotics"
Semidefinite Programming,Mathematics,"Control Theory, Combinatorial Optimization, Quantum Information"
Constraint Programming,Computer Science,"Scheduling, Planning, Configuration, Routing"
Graph Theory Algorithms,Mathematics,"Social Network Analysis, Bioinformatics, Transportation, Computer Networks"
Dijkstra's Algorithm,Computer Science,"Navigation Systems, Network Routing, GIS Applications"
A* Search Algorithm,Computer Science,"Pathfinding, Robotics, Video Games, Route Planning"
PageRank Algorithm,Network Theory,"Web Search, Social Network Analysis, Bibliometrics"
Bellman-Ford Algorithm,Graph Theory,"Network Routing, Economics, Arbitrage Detection"
Floyd-Warshall Algorithm,Graph Theory,"Network Analysis, Transportation, Graph Algorithms"
Minimum Spanning Tree Algorithms,Graph Theory,"Network Design, Clustering, Image Segmentation"
Maximum Flow Algorithms,Graph Theory,"Network Optimization, Bipartite Matching, Project Scheduling"
Graph Neural Networks,Graph Theory,"Molecular Property Prediction, Social Networks, Recommendation Systems"
Spectral Graph Theory,Mathematics,"Community Detection, Image Segmentation, Dimensionality Reduction"
Network Centrality Measures,Network Science,"Social Network Analysis, Epidemiology, Transportation, Neuroscience"
Community Detection Algorithms,Network Science,"Social Networks, Biology, Marketing, Fraud Detection"
Finite Element Method (FEM),Structural Engineering,"Mechanical Engineering, Biomechanics, Geophysics, Electromagnetics"
Finite Difference Method,Numerical Analysis,"Computational Fluid Dynamics, Heat Transfer, Financial Derivatives"
Finite Volume Method,Fluid Mechanics,"Computational Fluid Dynamics, Heat Transfer, Environmental Modeling"
Boundary Element Method,Engineering,"Acoustics, Electromagnetics, Structural Analysis"
Computational Fluid Dynamics (CFD),Aerospace Engineering,"Automotive Design, HVAC, Medical Devices, Weather Forecasting"
Molecular Dynamics Simulation,Physics,"Chemistry, Materials Science, Drug Design, Nanotechnology"
Monte Carlo Methods,Statistical Physics,"Finance, Particle Physics, Radiation Transport, Risk Analysis"
Agent-Based Modeling,Sociology,"Economics, Epidemiology, Ecology, Urban Planning, Social Sciences"
Discrete Event Simulation,Operations Research,"Manufacturing, Healthcare, Supply Chain, Transportation"
System Dynamics,Systems Theory,"Policy Analysis, Business Strategy, Healthcare, Environmental Management"
Markov Decision Processes,Operations Research,"Robotics, Healthcare, Finance, Resource Management"
Reinforcement Learning,Behavioral Psychology,"Robotics, Game AI, Autonomous Vehicles, Resource Management"
Q-Learning,Computer Science,"Game AI, Robotics, Network Routing, Trading Systems"
Deep Q-Networks (DQN),Computer Science,"Game Playing, Robotics, Resource Allocation"
Policy Gradient Methods,Control Theory,"Robotics, Game AI, Natural Language Processing"
Actor-Critic Methods,Control Theory,"Robotics, Game Playing, Resource Management"
Proximal Policy Optimization (PPO),Computer Science,"Robotics, Game AI, Continuous Control"
Deep Deterministic Policy Gradient,Computer Science,"Robotics, Continuous Control, Autonomous Driving"
Multi-Armed Bandit Algorithms,Probability Theory,"A/B Testing, Clinical Trials, Online Advertising, Recommendation Systems"
Thompson Sampling,Statistics,"Online Advertising, Clinical Trials, Recommendation Systems"
Upper Confidence Bound (UCB),Probability Theory,"Online Learning, Recommendation Systems, Resource Allocation"
Contextual Bandits,Machine Learning,"Personalized Medicine, Recommendation Systems, Online Advertising"
Collaborative Filtering,Information Retrieval,"Recommendation Systems, E-commerce, Streaming Services, Social Media"
Content-Based Filtering,Information Retrieval,"Recommendation Systems, News Aggregation, Music Services"
Matrix Factorization,Linear Algebra,"Recommendation Systems, Dimensionality Reduction, Image Processing"
Singular Value Decomposition (SVD),Linear Algebra,"Recommendation Systems, Image Compression, Signal Processing, NLP"
Non-negative Matrix Factorization,Linear Algebra,"Topic Modeling, Image Processing, Bioinformatics, Audio Source Separation"
Tensor Factorization,Multilinear Algebra,"Recommendation Systems, Knowledge Graphs, Neuroimaging"
Latent Dirichlet Allocation (LDA),Statistics,"Topic Modeling, Document Analysis, Bioinformatics, Social Media Analysis"
Word2Vec,Linguistics,"Natural Language Processing, Information Retrieval, Text Classification"
GloVe (Global Vectors),Linguistics,"Natural Language Processing, Text Mining, Sentiment Analysis"
FastText,Linguistics,"Text Classification, Language Identification, Natural Language Processing"
ELMo (Embeddings from Language Models),Natural Language Processing,"Text Classification, Named Entity Recognition, Question Answering"
Sequence-to-Sequence Models,Natural Language Processing,"Machine Translation, Text Summarization, Chatbots, Code Generation"
Encoder-Decoder Architecture,Information Theory,"Machine Translation, Image Captioning, Speech Recognition"
Beam Search,Computer Science,"Machine Translation, Speech Recognition, Sequence Generation"
Named Entity Recognition (NER),Natural Language Processing,"Information Extraction, Question Answering, Search Engines"
Part-of-Speech Tagging,Linguistics,"Natural Language Processing, Machine Translation, Text Analysis"
Dependency Parsing,Linguistics,"Natural Language Processing, Machine Translation, Information Extraction"
Constituency Parsing,Linguistics,"Natural Language Processing, Grammar Checking, Information Extraction"
Semantic Role Labeling,Linguistics,"Natural Language Processing, Question Answering, Information Extraction"
Sentiment Analysis,Computational Linguistics,"Marketing, Social Media Monitoring, Customer Feedback, Brand Management"
Aspect-Based Sentiment Analysis,Natural Language Processing,"Product Reviews, Customer Feedback, Social Media Analysis"
Transfer Learning,Cognitive Psychology,"Computer Vision, Natural Language Processing, Speech Recognition, Medical Imaging"
Domain Adaptation,Machine Learning,"Natural Language Processing, Computer Vision, Speech Recognition"
Multi-Task Learning,Cognitive Science,"Computer Vision, Natural Language Processing, Speech Recognition"
Meta-Learning,Cognitive Science,"Few-Shot Learning, Neural Architecture Search, Optimization"
Few-Shot Learning,Cognitive Psychology,"Image Classification, Object Detection, Natural Language Processing"
Zero-Shot Learning,Cognitive Science,"Image Classification, Natural Language Processing, Knowledge Transfer"
One-Shot Learning,Cognitive Psychology,"Face Recognition, Signature Verification, Object Detection"
Self-Supervised Learning,Machine Learning,"Computer Vision, Natural Language Processing, Robotics"
Contrastive Learning,Psychology,"Self-Supervised Learning, Computer Vision, Natural Language Processing"
Curriculum Learning,Pedagogy,"Neural Network Training, Computer Vision, Natural Language Processing"
Active Learning,Educational Psychology,"Machine Learning, Data Annotation, Medical Imaging"
Semi-Supervised Learning,Statistics,"Computer Vision, Natural Language Processing, Medical Image Analysis"
Weakly Supervised Learning,Machine Learning,"Computer Vision, Natural Language Processing, Medical Imaging"
Knowledge Distillation,Education Theory,"Model Compression, Edge Computing, Neural Network Efficiency"
Neural Architecture Search (NAS),Evolutionary Biology,"AutoML, Computer Vision, Natural Language Processing"
Hyperparameter Optimization,Experimental Design,"Machine Learning, Deep Learning, Model Tuning"
Bayesian Optimization,Statistics,"Hyperparameter Tuning, Experimental Design, Engineering Optimization"
Grid Search,Optimization,"Machine Learning, Model Selection, Parameter Tuning"
Random Search,Optimization,"Hyperparameter Tuning, Neural Architecture Search"
Image Segmentation,Computer Vision,"Medical Imaging, Autonomous Vehicles, Satellite Imagery, Agriculture"
Object Detection,Computer Vision,"Autonomous Vehicles, Surveillance, Retail Analytics, Medical Imaging"
Instance Segmentation,Computer Vision,"Robotics, Medical Imaging, Autonomous Vehicles, Agriculture"
Semantic Segmentation,Computer Vision,"Autonomous Driving, Medical Imaging, Satellite Analysis, Scene Understanding"
Edge Detection,Image Processing,"Computer Vision, Medical Imaging, Quality Control, Robotics"
Feature Extraction,Pattern Recognition,"Computer Vision, Biometrics, Signal Processing, Information Retrieval"
SIFT (Scale-Invariant Feature Transform),Computer Vision,"Object Recognition, Image Matching, 3D Reconstruction"
SURF (Speeded Up Robust Features),Computer Vision,"Object Recognition, Image Registration, Tracking"
HOG (Histogram of Oriented Gradients),Computer Vision,"Pedestrian Detection, Object Recognition, Image Classification"
Optical Flow,Computer Vision,"Motion Detection, Video Stabilization, Action Recognition, Robotics"
Structure from Motion,Computer Vision,"3D Reconstruction, Photogrammetry, Augmented Reality"
SLAM (Simultaneous Localization and Mapping),Robotics,"Autonomous Vehicles, Drones, Indoor Navigation, Augmented Reality"
Visual Odometry,Computer Vision,"Robotics, Autonomous Vehicles, Aerospace Navigation"
Face Recognition,Computer Vision,"Security Systems, Authentication, Social Media, Law Enforcement"
Facial Landmark Detection,Computer Vision,"Face Recognition, Emotion Detection, Virtual Reality, Medical Analysis"
Pose Estimation,Computer Vision,"Sports Analysis, Human-Computer Interaction, Augmented Reality, Healthcare"
Action Recognition,Computer Vision,"Video Surveillance, Sports Analysis, Human-Computer Interaction"
Video Tracking,Computer Vision,"Surveillance, Sports Analysis, Traffic Monitoring, Robotics"
Image Super-Resolution,Image Processing,"Medical Imaging, Satellite Imagery, Surveillance, Photography"
Image Denoising,Signal Processing,"Medical Imaging, Photography, Astronomy, Surveillance"
Image Inpainting,Computer Vision,"Photo Restoration, Video Editing, Medical Imaging, Cultural Heritage"
Style Transfer,Computer Vision,"Art Generation, Photography, Video Editing, Fashion Design"
Optical Character Recognition (OCR),Pattern Recognition,"Document Digitization, Banking, Postal Services, Accessibility"
Speech Recognition,Signal Processing,"Virtual Assistants, Transcription, Accessibility, Customer Service"
Speaker Recognition,Biometrics,"Security Systems, Forensics, Banking, Access Control"
Speech Synthesis,Signal Processing,"Text-to-Speech Systems, Accessibility, Virtual Assistants, Education"
Audio Classification,Signal Processing,"Music Genre Classification, Environmental Monitoring, Healthcare"
Music Information Retrieval,Musicology,"Music Recommendation, Copyright Detection, Music Production"
Anomaly Detection,Statistics,"Fraud Detection, Network Security, Manufacturing Quality Control, Healthcare"
Outlier Detection,Statistics,"Data Cleaning, Fraud Detection, Quality Control, Intrusion Detection"
Change Point Detection,Statistics,"Quality Control, Finance, Climate Science, Epidemiology"
Novelty Detection,Machine Learning,"Intrusion Detection, Fraud Detection, Manufacturing, Medical Diagnosis"
Time Series Anomaly Detection,Statistics,"Infrastructure Monitoring, Finance, Healthcare, Industrial IoT"
Graph Anomaly Detection,Network Science,"Fraud Detection, Cybersecurity, Social Network Analysis"
Causal Inference,Epidemiology,"Economics, Medicine, Social Sciences, Marketing"
Causal Discovery,Statistics,"Epidemiology, Economics, Neuroscience, Climate Science"
Directed Acyclic Graphs (DAGs),Graph Theory,"Causal Inference, Bioinformatics, Project Management, Bayesian Networks"
Do-Calculus,Causal Inference Theory,"Epidemiology, Economics, Social Sciences, AI Safety"
Mediation Analysis,Statistics,"Psychology, Public Health, Marketing Research, Social Sciences"
Moderation Analysis,Statistics,"Psychology, Marketing Research, Education, Management"
Interrupted Time Series Analysis,Statistics,"Public Health, Policy Evaluation, Economics, Quality Improvement"
Meta-Analysis,Statistics,"Medical Research, Psychology, Education, Evidence-Based Practice"
Systematic Review,Evidence-Based Medicine,"Healthcare, Education Policy, Environmental Science, Social Policy"
Network Meta-Analysis,Biostatistics,"Healthcare, Comparative Effectiveness Research, Clinical Guidelines"
Mendelian Randomization,Genetic Epidemiology,"Epidemiology, Drug Development, Public Health, Precision Medicine"
Genome-Wide Association Studies (GWAS),Genetics,"Medicine, Agriculture, Evolutionary Biology, Personalized Medicine"
RNA-Seq Analysis,Bioinformatics,"Genomics, Cancer Research, Drug Discovery, Developmental Biology"
Single-Cell Sequencing Analysis,Genomics,"Cancer Research, Immunology, Developmental Biology, Neuroscience"
Phylogenetic Analysis,Evolutionary Biology,"Taxonomy, Epidemiology, Conservation Biology, Linguistics"
Sequence Alignment,Bioinformatics,"Genomics, Protein Structure Prediction, Evolutionary Biology"
BLAST (Basic Local Alignment Search Tool),Bioinformatics,"Genomics, Molecular Biology, Drug Discovery, Evolutionary Studies"
Protein Structure Prediction,Computational Biology,"Drug Discovery, Biotechnology, Structural Biology, Synthetic Biology"
Molecular Docking,Computational Chemistry,"Drug Discovery, Enzyme Engineering, Chemical Biology"
QSAR (Quantitative Structure-Activity Relationship),Medicinal Chemistry,"Drug Design, Toxicology, Environmental Chemistry"
Pharmacokinetic Modeling,Pharmaceutical Sciences,"Drug Development, Clinical Pharmacology, Toxicology"
Compartmental Models,Epidemiology,"Disease Modeling, Pharmacology, Ecology, Environmental Science"
SIR Models (Susceptible-Infected-Recovered),Epidemiology,"Disease Control, Public Health, Vaccination Strategy, Pandemic Modeling"
Agent-Based Epidemiological Models,Computational Epidemiology,"Public Health, Disease Control, Policy Planning"
Spatial Epidemiology,Public Health Geography,"Disease Mapping, Public Health, Environmental Health, Healthcare Planning"
Disease Mapping,Spatial Epidemiology,"Public Health, Healthcare Planning, Environmental Health"
Kriging,Geostatistics,"Mining, Environmental Science, Agriculture, Meteorology"
Spatial Autocorrelation,Spatial Statistics,"Geography, Ecology, Real Estate, Epidemiology"
Geographically Weighted Regression,Spatial Statistics,"Urban Planning, Real Estate, Public Health, Environmental Science"
Point Pattern Analysis,Spatial Statistics,"Ecology, Epidemiology, Crime Analysis, Forestry"
Landscape Metrics,Landscape Ecology,"Conservation Biology, Urban Planning, Environmental Management"
Species Distribution Modeling,Ecology,"Conservation Biology, Biodiversity Assessment, Climate Change Studies"
Ecological Niche Modeling,Biogeography,"Conservation, Invasive Species Management, Climate Change Research"
Population Viability Analysis,Conservation Biology,"Wildlife Management, Endangered Species, Conservation Planning"
Mark-Recapture Methods,Ecology,"Wildlife Biology, Fisheries, Epidemiology, Quality Control"
Distance Sampling,Wildlife Ecology,"Conservation, Biodiversity Surveys, Forestry, Marine Biology"
Occupancy Modeling,Wildlife Ecology,"Biodiversity Monitoring, Conservation, Wildlife Management"
N-Mixture Models,Ecology,"Wildlife Surveys, Biodiversity Assessment, Conservation Planning"
Integrated Population Models,Ecology,"Wildlife Management, Conservation, Fisheries Management"
State-Space Models for Ecology,Ecological Modeling,"Population Dynamics, Fisheries, Wildlife Management"
Leslie Matrix Models,Population Ecology,"Demography, Wildlife Management, Fisheries, Conservation"
Lefkovitch Matrix Models,Population Ecology,"Plant Demography, Conservation, Forestry"
Individual-Based Models,Ecology,"Population Biology, Epidemiology, Conservation, Animal Behavior"
Lotka-Volterra Models,Mathematical Ecology,"Predator-Prey Dynamics, Competition Studies, Theoretical Ecology"
Metapopulation Models,Ecology,"Conservation Biology, Landscape Ecology, Epidemiology"
Food Web Analysis,Ecology,"Ecosystem Management, Fisheries, Conservation Biology"
Stable Isotope Analysis,Geochemistry,"Ecology, Forensics, Archaeology, Paleoclimatology, Food Authentication"
Radiocarbon Dating,Nuclear Physics,"Archaeology, Geology, Paleontology, Art Authentication"
Dendrochronology,Forestry,"Archaeology, Climate Science, Ecology, Art History"
Paleoecology Reconstruction,Ecology,"Climate Science, Conservation, Paleontology, Environmental History"
Stratigraphic Analysis,Geology,"Archaeology, Petroleum Exploration, Climate Science, Paleontology"
Remote Sensing Analysis,Geomatics,"Agriculture, Forestry, Urban Planning, Environmental Monitoring, Disaster Management"
Satellite Image Classification,Remote Sensing,"Land Use Mapping, Agriculture, Forestry, Urban Planning, Disaster Response"
Hyperspectral Imaging,Remote Sensing,"Agriculture, Mining, Environmental Monitoring, Medical Imaging"
LiDAR Analysis,Remote Sensing,"Forestry, Archaeology, Urban Planning, Flood Modeling, Transportation"
Synthetic Aperture Radar (SAR),Radar Technology,"Earth Observation, Military, Disaster Monitoring, Agriculture"
Change Detection in Remote Sensing,Geomatics,"Deforestation Monitoring, Urban Growth, Disaster Assessment, Agriculture"
Phenology Analysis,Ecology,"Agriculture, Forestry, Climate Change Research, Biodiversity Studies"
Vegetation Indices,Remote Sensing,"Agriculture, Forestry, Environmental Monitoring, Climate Studies"
Soil Moisture Estimation,Hydrology,"Agriculture, Water Resources, Drought Monitoring, Climate Modeling"
Evapotranspiration Modeling,Hydrology,"Water Resources, Agriculture, Climate Modeling, Irrigation Management"
Hydrological Modeling,Hydrology,"Water Resources Management, Flood Prediction, Climate Studies, Agriculture"
Flood Frequency Analysis,Hydrology,"Civil Engineering, Disaster Management, Urban Planning, Insurance"
Rainfall-Runoff Modeling,Hydrology,"Flood Forecasting, Water Resources, Urban Drainage, Dam Design"
Groundwater Modeling,Hydrogeology,"Water Resources, Environmental Remediation, Mining, Agriculture"
